"filename", "language", "TypeScript React", "TypeScript", "JSON", "XML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/faraj_shuaib/projects/sahaba/front/src/components/AuthStateWrapper.tsx", "TypeScript React", 55, 0, 0, 0, 0, 0, 1, 10, 66
"/Users/faraj_shuaib/projects/sahaba/front/src/components/BackgroundSection/BackgroundSection.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/faraj_shuaib/projects/sahaba/front/src/components/BgGlassmorphism/BgGlassmorphism.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/faraj_shuaib/projects/sahaba/front/src/components/BlurHiddenNft.tsx", "TypeScript React", 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/faraj_shuaib/projects/sahaba/front/src/components/BtnLikeIcon/BtnLikeIcon.tsx", "TypeScript React", 34, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ButtonDropDownShare.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ButtonDropdown.tsx", "TypeScript React", 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CardAuthorBox4/CardAuthorBox4.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 0, 6, 75
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CardCategory5/CardCategory5.tsx", "TypeScript React", 54, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CardLarge1/CardLarge1.tsx", "TypeScript React", 129, 0, 0, 0, 0, 0, 7, 13, 149
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CardLarge1/TimeCountDown.tsx", "TypeScript React", 80, 0, 0, 0, 0, 0, 0, 5, 85
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CardNFT.tsx", "TypeScript React", 90, 0, 0, 0, 0, 0, 0, 9, 99
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CardNFT2.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 3, 11, 92
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CollectionCard.tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 3, 5, 70
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CollectionCard2.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 2, 4, 75
"/Users/faraj_shuaib/projects/sahaba/front/src/components/CollectionCollaborator.tsx", "TypeScript React", 170, 0, 0, 0, 0, 0, 1, 11, 182
"/Users/faraj_shuaib/projects/sahaba/front/src/components/FollowButton.tsx", "TypeScript React", 57, 0, 0, 0, 0, 0, 0, 8, 65
"/Users/faraj_shuaib/projects/sahaba/front/src/components/FormItem.tsx", "TypeScript React", 30, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Header/AvatarDropdown.tsx", "TypeScript React", 193, 0, 0, 0, 0, 0, 3, 13, 209
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Header/HeaderLogged.tsx", "TypeScript React", 108, 0, 0, 0, 0, 0, 1, 9, 118
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Header/LocalesDropDown.tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 0, 6, 68
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Header/NotifyDropdown.tsx", "TypeScript React", 202, 0, 0, 0, 0, 0, 5, 8, 215
"/Users/faraj_shuaib/projects/sahaba/front/src/components/HeaderFilterSearchPage.tsx", "TypeScript React", 141, 0, 0, 0, 0, 0, 0, 10, 151
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Heading/Heading.tsx", "TypeScript React", 136, 0, 0, 0, 0, 0, 0, 9, 145
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Heading/Heading2.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ItemTypeImageIcon.tsx", "TypeScript React", 38, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Label/Label.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/faraj_shuaib/projects/sahaba/front/src/components/LikeButton.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/faraj_shuaib/projects/sahaba/front/src/components/LoadingScreen.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ModalAddCollaboration.tsx", "TypeScript React", 110, 0, 0, 0, 0, 0, 0, 10, 120
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ModalDelete.tsx", "TypeScript React", 87, 0, 0, 0, 0, 0, 0, 8, 95
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ModalEdit.tsx", "TypeScript React", 179, 0, 0, 0, 0, 0, 0, 19, 198
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ModalReportItem.tsx", "TypeScript React", 188, 0, 0, 0, 0, 0, 2, 14, 204
"/Users/faraj_shuaib/projects/sahaba/front/src/components/MySwitch.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/faraj_shuaib/projects/sahaba/front/src/components/NavItem2.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/faraj_shuaib/projects/sahaba/front/src/components/NcInputNumber/NcInputNumber.tsx", "TypeScript React", 77, 0, 0, 0, 0, 0, 0, 9, 86
"/Users/faraj_shuaib/projects/sahaba/front/src/components/NftMoreDropdown.tsx", "TypeScript React", 114, 0, 0, 0, 0, 0, 0, 14, 128
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Prices.tsx", "TypeScript React", 31, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/faraj_shuaib/projects/sahaba/front/src/components/Prices2.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ProfileTabs.tsx", "TypeScript React", 272, 0, 0, 0, 0, 0, 6, 25, 303
"/Users/faraj_shuaib/projects/sahaba/front/src/components/RemainingTimeNftCard.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 5, 49
